order_id,user_id,restaurant_id,order_time,meal_period,items_ordered,order_value,was_completed
O004318,U02641,R0071,2025-12-26T09:38:31.865393,breakfast,"[""I01373"", ""I01377""]",91,True
O004319,U00857,R0094,2025-12-02T08:26:01.001217,breakfast,"[""I01861"", ""I01869"", ""I01870""]",865,True
O004320,U02940,R0012,2025-12-08T14:24:01.162955,lunch,"[""I00269""]",113,True
O004321,U01301,R0052,2026-01-05T04:13:39.134911,late_night,"[""I01021"", ""I01009""]",111,True
O004322,U03896,R0043,2025-12-17T03:19:05.243005,late_night,"[""I00859"", ""I00860"", ""I00862""]",418,True
O004323,U02759,R0069,2025-12-13T12:24:55.228564,lunch,"[""I01323"", ""I01321"", ""I01324""]",301,True
O004324,U00821,R0035,2025-12-09T02:17:53.912699,late_night,"[""I00719"", ""I00722"", ""I00724"", ""I00727""]",625,True
O004325,U02933,R0042,2025-12-23T05:12:15.693124,late_night,"[""I00840"", ""I00839"", ""I00843"", ""I00837""]",369,True
O004326,U01334,R0060,2025-12-24T17:28:45.394199,late_night,"[""I01167""]",52,True
O004327,U04480,R0024,2025-12-27T14:55:00.884107,lunch,"[""I00495"", ""I00494"", ""I00492"", ""I00493"", ""I00484"", ""I00490"", ""I00491""]",897,True
O004328,U00179,R0051,2026-01-02T06:33:19.955304,late_night,"[""I01007"", ""I01004"", ""I00994""]",962,True
O004329,U03740,R0087,2025-12-31T08:03:58.960178,breakfast,"[""I01702"", ""I01673"", ""I01679""]",801,True
O004330,U04719,R0096,2025-12-22T21:53:26.993288,dinner,"[""I01922"", ""I01914"", ""I01912"", ""I01910"", ""I01916"", ""I01913""]",476,True
O004331,U03564,R0094,2025-12-24T15:15:55.079551,late_night,"[""I01864"", ""I01860"", ""I01858""]",713,True
O004332,U03272,R0061,2025-12-21T05:51:28.064581,late_night,"[""I01192"", ""I01193"", ""I01186"", ""I01183""]",256,True
O004333,U01996,R0033,2026-01-04T01:38:58.315471,late_night,"[""I00706"", ""I00694"", ""I00703"", ""I00704""]",461,True
O004334,U03058,R0083,2026-01-04T12:57:09.813448,lunch,"[""I01597""]",46,True
O004335,U02768,R0062,2025-12-17T06:43:16.537926,late_night,"[""I01210""]",175,True
O004336,U03287,R0039,2025-12-24T22:09:18.253595,dinner,"[""I00792"", ""I00793"", ""I00790"", ""I00794""]",195,True
O004337,U00329,R0100,2025-12-13T13:07:52.867313,lunch,"[""I02017""]",98,True
O004338,U01920,R0098,2026-01-04T03:09:24.845748,late_night,"[""I01967""]",60,True
O004339,U04154,R0017,2025-12-13T05:46:23.534042,late_night,"[""I00373""]",804,True
O004340,U03449,R0033,2025-12-21T15:26:24.856574,late_night,"[""I00703"", ""I00699"", ""I00705"", ""I00695""]",444,True
O004341,U02207,R0093,2025-12-13T20:31:05.063631,dinner,"[""I01841""]",261,True
O004342,U03283,R0002,2025-12-30T16:31:13.382750,late_night,"[""I00024"", ""I00020"", ""I00025""]",157,True
O004343,U01344,R0043,2025-12-16T17:56:35.254003,late_night,"[""I00851"", ""I00858""]",139,True
O004344,U01364,R0066,2025-12-31T05:12:54.093054,late_night,"[""I01293"", ""I01294"", ""I01288""]",869,False
O004345,U04890,R0065,2025-12-10T14:06:18.678001,lunch,"[""I01275"", ""I01277"", ""I01271""]",237,True
O004346,U01626,R0073,2025-12-12T20:29:18.020186,dinner,"[""I01404"", ""I01412""]",317,True
O004347,U01144,R0036,2025-12-15T20:07:01.636974,dinner,"[""I00741"", ""I00736""]",146,True
O004348,U02730,R0020,2026-01-01T06:29:43.875183,late_night,"[""I00415"", ""I00407""]",142,True
O004349,U00741,R0028,2026-01-01T18:43:13.190982,late_night,"[""I00596"", ""I00586"", ""I00584""]",354,True
O004350,U01159,R0043,2025-12-23T13:03:55.348128,lunch,"[""I00857""]",44,True
O004351,U03758,R0061,2025-12-02T08:32:34.693966,breakfast,"[""I01175"", ""I01176""]",732,True
O004352,U01355,R0067,2025-12-19T13:42:53.281197,lunch,"[""I01305"", ""I01295"", ""I01300""]",493,True
O004353,U00007,R0076,2025-12-14T09:04:36.920136,breakfast,"[""I01463"", ""I01470"", ""I01465"", ""I01472""]",558,True
O004354,U01209,R0037,2025-12-21T01:10:21.498406,late_night,"[""I00761"", ""I00752"", ""I00753""]",474,True
O004355,U01410,R0059,2025-12-11T03:05:02.245175,late_night,"[""I01140"", ""I01143""]",461,True
O004356,U02520,R0015,2025-12-22T01:10:59.344245,late_night,"[""I00318"", ""I00327"", ""I00334""]",450,True
O004357,U01513,R0031,2025-12-05T03:00:03.882412,late_night,"[""I00662"", ""I00656""]",126,True
O004358,U01666,R0062,2025-12-27T19:50:33.119612,dinner,"[""I01225"", ""I01213"", ""I01218"", ""I01223"", ""I01216""]",729,True
O004359,U00739,R0035,2025-12-25T02:01:18.319074,late_night,"[""I00730"", ""I00728"", ""I00734"", ""I00732"", ""I00721"", ""I00729"", ""I00727""]",831,True
O004360,U01263,R0098,2025-12-24T16:36:48.311896,late_night,"[""I01963""]",69,True
O004361,U04550,R0100,2025-12-05T23:22:39.494173,late_night,"[""I02013"", ""I02021"", ""I02016""]",733,True
O004362,U03066,R0031,2026-01-02T21:09:03.782100,dinner,"[""I00664"", ""I00662"", ""I00671"", ""I00670"", ""I00660""]",218,True
O004363,U03911,R0026,2025-12-29T08:11:13.713132,breakfast,"[""I00546"", ""I00544"", ""I00524"", ""I00523""]",750,True
O004364,U02824,R0002,2025-12-30T09:06:37.549910,breakfast,"[""I00028"", ""I00019"", ""I00016""]",223,True
O004365,U03857,R0071,2025-12-24T23:49:54.276028,late_night,"[""I01365"", ""I01373"", ""I01379""]",315,True
O004366,U03229,R0046,2025-12-04T13:22:12.300526,lunch,"[""I00906"", ""I00910"", ""I00911""]",586,True
O004367,U03870,R0040,2025-12-04T11:27:53.198858,lunch,"[""I00802"", ""I00804"", ""I00803"", ""I00814"", ""I00815""]",467,True
O004368,U03797,R0098,2025-12-02T15:44:59.829499,late_night,"[""I01962"", ""I01964"", ""I01961""]",278,True
O004369,U01989,R0077,2025-12-31T14:46:35.343182,lunch,"[""I01475"", ""I01483""]",308,True
O004370,U00785,R0050,2025-12-19T14:00:25.007263,lunch,"[""I00988"", ""I00992""]",733,True
O004371,U01053,R0055,2025-12-03T06:24:23.971822,late_night,"[""I01075"", ""I01078"", ""I01074"", ""I01084""]",1111,True
O004372,U01094,R0052,2025-12-14T22:12:31.587049,dinner,"[""I01021""]",46,True
O004373,U02680,R0052,2025-12-31T18:48:10.883835,late_night,"[""I01022"", ""I01009"", ""I01020"", ""I01023"", ""I01014""]",534,True
O004374,U03479,R0077,2025-12-10T15:21:16.905847,late_night,"[""I01477"", ""I01483"", ""I01484"", ""I01486"", ""I01491""]",721,True
O004375,U03227,R0076,2025-12-19T07:35:23.133931,breakfast,"[""I01464"", ""I01470"", ""I01465""]",405,True
O004376,U00588,R0059,2025-12-29T18:24:17.366728,late_night,"[""I01141""]",161,True
O004377,U04001,R0073,2025-12-22T01:37:42.549080,late_night,"[""I01406"", ""I01408"", ""I01414""]",427,False
O004378,U04805,R0002,2025-12-21T08:08:20.790239,breakfast,"[""I00018"", ""I00021""]",92,True
O004379,U01817,R0020,2025-12-09T08:31:22.807025,breakfast,"[""I00405"", ""I00411"", ""I00414"", ""I00409"", ""I00418""]",422,True
O004380,U01927,R0059,2025-12-28T15:51:21.358608,late_night,"[""I01140"", ""I01139"", ""I01147""]",580,True
O004381,U02968,R0043,2026-01-04T20:03:15.983600,dinner,"[""I00853"", ""I00856"", ""I00863""]",400,True
O004382,U04108,R0004,2025-12-26T21:28:40.002783,dinner,"[""I00075"", ""I00078"", ""I00073"", ""I00065""]",547,True
O004383,U04909,R0097,2025-12-26T10:28:34.873279,breakfast,"[""I01955"", ""I01931"", ""I01927"", ""I01952""]",880,True
O004384,U03262,R0017,2025-12-08T06:32:20.875053,late_night,"[""I00363"", ""I00370""]",820,True
O004385,U01885,R0018,2025-12-14T02:49:02.604109,late_night,"[""I00383"", ""I00382"", ""I00384""]",278,True
O004386,U04096,R0024,2025-12-23T14:57:55.841525,lunch,"[""I00493"", ""I00488""]",388,True
O004387,U00363,R0024,2025-12-05T12:43:27.441652,lunch,"[""I00495"", ""I00487"", ""I00486""]",714,True
O004388,U02474,R0056,2025-12-03T18:17:22.717979,late_night,"[""I01086"", ""I01095"", ""I01101""]",454,True
O004389,U00761,R0033,2025-12-23T10:04:17.102896,breakfast,"[""I00700"", ""I00695"", ""I00704"", ""I00703"", ""I00707"", ""I00699""]",821,False
O004390,U03147,R0039,2026-01-04T03:28:20.992433,late_night,"[""I00792"", ""I00785"", ""I00794"", ""I00798"", ""I00795""]",282,True
O004391,U03488,R0018,2025-12-08T03:13:30.261658,late_night,"[""I00375"", ""I00383"", ""I00384"", ""I00380""]",347,True
O004392,U02335,R0045,2026-01-01T00:21:33.230331,late_night,"[""I00894"", ""I00897"", ""I00898"", ""I00891""]",291,True
O004393,U03169,R0087,2025-12-23T07:21:43.516535,breakfast,"[""I01677""]",278,True
O004394,U03938,R0016,2025-12-24T02:00:21.855039,late_night,"[""I00355"", ""I00349""]",528,True
O004395,U02139,R0079,2025-12-01T20:22:13.277082,dinner,"[""I01533"", ""I01530""]",555,True
O004396,U01471,R0034,2026-01-04T07:19:47.156739,breakfast,"[""I00714""]",32,True
O004397,U03263,R0089,2025-12-08T16:55:31.102622,late_night,"[""I01753"", ""I01755"", ""I01739""]",417,True
O004398,U00872,R0081,2026-01-04T16:50:55.982479,late_night,"[""I01560""]",103,True
O004399,U00677,R0042,2025-12-25T04:44:37.111111,late_night,"[""I00841"", ""I00847""]",126,True
O004400,U00831,R0094,2025-12-19T12:20:56.072767,lunch,"[""I01871"", ""I01856"", ""I01859""]",786,True
O004401,U03314,R0002,2025-12-28T00:14:35.543250,late_night,"[""I00025"", ""I00021"", ""I00017""]",187,True
O004402,U01318,R0041,2026-01-04T08:32:22.589532,breakfast,"[""I00830""]",46,True
O004403,U01055,R0082,2025-12-15T22:32:59.782605,dinner,"[""I01582"", ""I01577"", ""I01584"", ""I01579"", ""I01574"", ""I01575"", ""I01578""]",2045,True
O004404,U04154,R0046,2025-12-04T22:32:59.034046,dinner,"[""I00903"", ""I00899""]",429,True
O004405,U03725,R0002,2025-12-10T05:29:11.661342,late_night,"[""I00017""]",90,True
O004406,U03983,R0040,2025-12-27T17:05:13.559699,late_night,"[""I00809"", ""I00807"", ""I00815""]",226,True
O004407,U03461,R0099,2025-12-23T13:50:09.670245,lunch,"[""I02003""]",308,True
O004408,U00447,R0042,2025-12-09T01:02:51.733859,late_night,"[""I00841"", ""I00844""]",212,True
O004409,U03482,R0048,2025-12-18T04:24:14.260894,late_night,"[""I00959"", ""I00950"", ""I00949""]",650,True
O004410,U00950,R0072,2025-12-28T14:32:44.042230,lunch,"[""I01402"", ""I01403""]",723,True
O004411,U03689,R0044,2025-12-02T19:07:17.028692,dinner,"[""I00885"", ""I00869"", ""I00880""]",1374,True
O004412,U03055,R0054,2025-12-11T01:15:43.604471,late_night,"[""I01056"", ""I01068""]",137,True
O004413,U02745,R0082,2025-12-02T05:05:42.601738,late_night,"[""I01577""]",402,True
O004414,U04383,R0072,2025-12-25T06:33:15.738266,late_night,"[""I01401"", ""I01382"", ""I01393""]",387,True
O004415,U00915,R0023,2025-12-29T23:21:03.759536,late_night,"[""I00475"", ""I00477""]",235,True
O004416,U03474,R0071,2025-12-26T01:51:29.477488,late_night,"[""I01363"", ""I01365""]",513,True
O004417,U03142,R0073,2026-01-01T03:15:50.317101,late_night,"[""I01422""]",102,True
O004418,U00656,R0020,2025-12-28T18:53:47.990124,late_night,"[""I00404"", ""I00407"", ""I00415""]",227,True
O004419,U00057,R0032,2026-01-01T14:21:42.120143,lunch,"[""I00691"", ""I00688"", ""I00678"", ""I00680"", ""I00687""]",1028,False
O004420,U04835,R0037,2025-12-18T10:27:01.893479,breakfast,"[""I00762"", ""I00764"", ""I00767"", ""I00760""]",375,True
O004421,U01619,R0080,2025-12-26T22:17:02.219908,dinner,"[""I01545"", ""I01547""]",95,True
O004422,U03728,R0087,2025-12-28T21:50:53.887063,dinner,"[""I01686"", ""I01684"", ""I01695""]",192,True
O004423,U00398,R0074,2025-12-30T05:38:54.641509,late_night,"[""I01427"", ""I01428"", ""I01434""]",188,False
O004424,U02308,R0005,2025-12-08T11:36:08.766735,lunch,"[""I00087"", ""I00097"", ""I00093"", ""I00113"", ""I00094"", ""I00111""]",877,True
O004425,U00996,R0068,2025-12-15T21:24:32.366754,dinner,"[""I01312""]",59,True
O004426,U03771,R0064,2025-12-21T11:17:49.046185,lunch,"[""I01256"", ""I01262""]",294,True
O004427,U00411,R0068,2025-12-09T06:39:33.350576,late_night,"[""I01312"", ""I01309"", ""I01316""]",544,True
O004428,U03026,R0049,2025-12-09T00:00:32.031267,late_night,"[""I00978""]",143,True
O004429,U03488,R0041,2025-12-06T04:46:31.586602,late_night,"[""I00832"", ""I00830""]",124,True
O004430,U02427,R0010,2025-12-03T01:52:44.369054,late_night,"[""I00237""]",90,True
O004431,U04447,R0038,2025-12-23T22:22:02.279860,dinner,"[""I00781"", ""I00771"", ""I00778""]",814,True
O004432,U01465,R0033,2026-01-01T02:18:42.028671,late_night,"[""I00694"", ""I00699"", ""I00707"", ""I00700"", ""I00697""]",769,True
O004433,U02924,R0084,2025-12-07T06:39:37.073373,late_night,"[""I01617"", ""I01610""]",276,False
O004434,U00144,R0073,2025-12-04T12:46:55.365832,lunch,"[""I01420"", ""I01409""]",312,True
O004435,U02660,R0039,2025-12-18T20:44:21.468114,dinner,"[""I00798""]",148,False
O004436,U00292,R0080,2025-12-10T10:22:00.305276,breakfast,"[""I01553"", ""I01552""]",43,True
O004437,U00915,R0057,2025-12-12T13:51:50.201606,lunch,"[""I01111""]",17,True
O004438,U00300,R0069,2025-12-10T12:44:10.668011,lunch,"[""I01321"", ""I01325""]",227,True
O004439,U03246,R0044,2025-12-17T02:29:01.770993,late_night,"[""I00878""]",61,True
O004440,U01436,R0013,2025-12-13T07:19:33.903892,breakfast,"[""I00294"", ""I00291"", ""I00276""]",532,True
O004441,U04383,R0013,2025-12-14T08:26:21.154548,breakfast,"[""I00288"", ""I00283"", ""I00278""]",302,True
O004442,U01033,R0021,2025-12-07T10:02:58.748403,breakfast,"[""I00429""]",163,True
O004443,U04043,R0056,2025-12-12T02:43:45.454319,late_night,"[""I01087""]",109,True
O004444,U02251,R0063,2025-12-28T19:38:54.613626,dinner,"[""I01237""]",132,False
O004445,U03753,R0050,2025-12-28T13:11:08.298705,lunch,"[""I00991""]",341,True
O004446,U04289,R0072,2026-01-02T11:30:40.926277,lunch,"[""I01391"", ""I01392""]",352,True
O004447,U03756,R0006,2026-01-04T14:22:00.044515,lunch,"[""I00128"", ""I00150"", ""I00127"", ""I00124""]",558,True
O004448,U00627,R0046,2025-12-02T23:42:19.407813,late_night,"[""I00903"", ""I00906"", ""I00901""]",526,True
O004449,U03054,R0006,2025-12-23T21:59:00.128559,dinner,"[""I00149"", ""I00130""]",322,True
O004450,U01203,R0078,2026-01-03T09:18:30.887819,breakfast,"[""I01498""]",388,True
O004451,U00829,R0061,2025-12-22T08:08:27.579303,breakfast,"[""I01175""]",319,True
O004452,U04200,R0016,2025-12-18T17:34:46.696563,late_night,"[""I00355"", ""I00349"", ""I00356"", ""I00346""]",954,True
O004453,U02768,R0082,2025-12-26T21:03:44.417782,dinner,"[""I01576"", ""I01574"", ""I01585""]",1390,True
O004454,U02474,R0055,2026-01-03T13:16:24.572464,lunch,"[""I01083"", ""I01074"", ""I01085"", ""I01080"", ""I01078""]",1067,True
O004455,U03283,R0002,2025-12-21T09:58:30.090519,breakfast,"[""I00023"", ""I00029""]",285,True
O004456,U01507,R0059,2025-12-24T10:33:33.525934,breakfast,"[""I01151"", ""I01139"", ""I01150"", ""I01137"", ""I01140"", ""I01149""]",927,True
O004457,U00650,R0045,2025-12-03T07:30:01.628056,breakfast,"[""I00887"", ""I00896""]",131,True
O004458,U00954,R0025,2025-12-16T15:33:25.086102,late_night,"[""I00517""]",779,True
O004459,U04677,R0034,2025-12-07T20:17:19.955384,dinner,"[""I00713"", ""I00712"", ""I00715"", ""I00714""]",295,True
O004460,U02484,R0079,2025-12-03T07:45:30.075228,breakfast,"[""I01534"", ""I01535"", ""I01537""]",343,True
O004461,U04212,R0070,2025-12-13T07:31:07.991146,breakfast,"[""I01332"", ""I01341"", ""I01331""]",582,True
O004462,U01997,R0013,2025-12-06T08:30:51.685499,breakfast,"[""I00282"", ""I00280"", ""I00290"", ""I00278"", ""I00281""]",676,True
O004463,U03066,R0074,2025-12-31T11:47:59.845387,lunch,"[""I01425"", ""I01438"", ""I01429"", ""I01437"", ""I01439""]",341,False
O004464,U03875,R0038,2025-12-17T04:40:04.354334,late_night,"[""I00780"", ""I00772"", ""I00781""]",609,True
O004465,U03580,R0054,2025-12-16T11:34:24.628585,lunch,"[""I01063"", ""I01070""]",161,True
O004466,U01522,R0040,2025-12-12T12:02:28.376308,lunch,"[""I00818"", ""I00814"", ""I00805"", ""I00801"", ""I00803""]",682,True
O004467,U04109,R0012,2025-12-13T20:59:30.103481,dinner,"[""I00273"", ""I00266""]",939,True
O004468,U04954,R0052,2025-12-25T07:36:32.061149,breakfast,"[""I01015"", ""I01020"", ""I01014"", ""I01019"", ""I01012"", ""I01022"", ""I01008""]",500,True
O004469,U01485,R0087,2025-12-21T22:52:30.953526,dinner,"[""I01675"", ""I01696"", ""I01700""]",475,True
O004470,U02335,R0043,2025-12-22T04:01:19.805224,late_night,"[""I00855"", ""I00861"", ""I00857"", ""I00854"", ""I00851""]",479,True
O004471,U00042,R0054,2025-12-20T14:51:55.056310,lunch,"[""I01064"", ""I01072""]",239,False
O004472,U01697,R0002,2025-12-13T21:04:43.865229,dinner,"[""I00026"", ""I00021"", ""I00029""]",323,True
O004473,U03395,R0082,2025-12-24T04:55:49.818300,late_night,"[""I01583""]",249,True
O004474,U01064,R0036,2025-12-05T05:45:05.788768,late_night,"[""I00736"", ""I00738"", ""I00748"", ""I00742"", ""I00743""]",319,True
O004475,U02188,R0060,2025-12-02T12:28:09.564040,lunch,"[""I01169"", ""I01166""]",207,True
O004476,U04908,R0033,2026-01-04T07:24:18.190668,breakfast,"[""I00700"", ""I00706"", ""I00701"", ""I00698"", ""I00699"", ""I00704""]",694,False
O004477,U00796,R0023,2025-12-25T03:57:45.452064,late_night,"[""I00473"", ""I00478"", ""I00476"", ""I00477"", ""I00481"", ""I00480"", ""I00482""]",824,True
O004478,U01842,R0003,2025-12-13T12:21:30.217817,lunch,"[""I00033"", ""I00034"", ""I00050"", ""I00038""]",802,True
O004479,U02660,R0027,2025-12-19T04:10:28.280064,late_night,"[""I00577""]",59,True
O004480,U00523,R0079,2025-12-03T03:22:50.077851,late_night,"[""I01541"", ""I01542"", ""I01534""]",355,True
O004481,U02358,R0075,2026-01-01T08:44:08.508540,breakfast,"[""I01445"", ""I01454""]",205,True
O004482,U04992,R0059,2025-12-19T19:45:49.826311,dinner,"[""I01153"", ""I01149""]",545,True
O004483,U04817,R0054,2025-12-24T13:51:28.534319,lunch,"[""I01062"", ""I01059"", ""I01058"", ""I01071"", ""I01064"", ""I01061""]",445,True
O004484,U04877,R0032,2025-12-08T15:25:47.144330,late_night,"[""I00686"", ""I00689"", ""I00687"", ""I00677""]",993,True
O004485,U04436,R0055,2026-01-03T11:57:41.817245,lunch,"[""I01085"", ""I01083"", ""I01080"", ""I01076""]",577,True
O004486,U03897,R0091,2025-12-02T10:38:53.068221,breakfast,"[""I01806"", ""I01796"", ""I01799"", ""I01795"", ""I01797""]",489,True
O004487,U00103,R0050,2025-12-06T01:11:47.810317,late_night,"[""I00989"", ""I00990""]",287,True
O004488,U02791,R0041,2025-12-14T11:46:58.280541,lunch,"[""I00824"", ""I00832"", ""I00828""]",299,True
O004489,U02838,R0051,2026-01-03T06:25:39.814384,late_night,"[""I01007""]",511,True
O004490,U01244,R0049,2025-12-29T16:45:15.185936,late_night,"[""I00966"", ""I00970"", ""I00975""]",568,True
O004491,U04088,R0051,2025-12-06T20:38:51.119548,dinner,"[""I00999""]",63,True
O004492,U04361,R0019,2025-12-02T13:04:59.056748,lunch,"[""I00395"", ""I00392"", ""I00396""]",317,True
O004493,U03196,R0033,2026-01-04T11:05:52.557911,lunch,"[""I00703"", ""I00702"", ""I00704""]",216,True
O004494,U03301,R0005,2026-01-01T06:17:54.089775,late_night,"[""I00107""]",95,True
O004495,U04681,R0020,2026-01-01T18:10:16.304314,late_night,"[""I00412"", ""I00407""]",158,True
O004496,U03986,R0060,2025-12-11T20:30:36.440160,dinner,"[""I01156"", ""I01164"", ""I01168""]",270,True
O004497,U00681,R0025,2025-12-15T02:30:14.535093,late_night,"[""I00515"", ""I00506""]",484,True
O004498,U04339,R0048,2025-12-06T14:57:46.930600,lunch,"[""I00962""]",118,True
O004499,U02491,R0034,2025-12-04T19:53:24.974453,dinner,"[""I00716""]",133,True
O004500,U02584,R0085,2025-12-31T12:05:21.226131,lunch,"[""I01652"", ""I01656""]",529,True
O004501,U03829,R0004,2025-12-29T04:44:30.852256,late_night,"[""I00065"", ""I00072""]",338,True
O004502,U01278,R0092,2025-12-13T06:37:08.727105,late_night,"[""I01825"", ""I01836"", ""I01822""]",146,True
O004503,U04792,R0015,2025-12-10T13:22:50.857112,lunch,"[""I00324""]",279,True
O004504,U02881,R0073,2025-12-17T02:11:47.556248,late_night,"[""I01409""]",211,True
O004505,U03403,R0085,2025-12-16T21:10:17.935761,dinner,"[""I01651"", ""I01643""]",174,True
O004506,U00192,R0086,2025-12-22T22:31:06.111977,dinner,"[""I01663"", ""I01667"", ""I01666"", ""I01657""]",239,True
O004507,U02326,R0092,2025-12-05T16:17:34.791886,late_night,"[""I01831""]",22,True
O004508,U04021,R0033,2025-12-07T21:39:49.354747,dinner,"[""I00694"", ""I00707"", ""I00699"", ""I00696"", ""I00703"", ""I00700""]",771,True
O004509,U03075,R0033,2025-12-09T10:53:46.896575,breakfast,"[""I00703"", ""I00702"", ""I00697"", ""I00700""]",374,True
O004510,U01079,R0040,2025-12-10T10:41:06.996738,breakfast,"[""I00813"", ""I00814"", ""I00809"", ""I00805"", ""I00799""]",440,True
O004511,U04974,R0094,2025-12-30T17:31:41.003187,late_night,"[""I01858"", ""I01862"", ""I01864"", ""I01859""]",654,True
O004512,U01012,R0013,2025-12-20T08:38:51.740126,breakfast,"[""I00279""]",261,True
O004513,U03242,R0041,2025-12-18T08:54:21.717182,breakfast,"[""I00834"", ""I00823""]",269,True
O004514,U01732,R0017,2025-12-15T07:54:17.204336,breakfast,"[""I00369"", ""I00359""]",447,True
O004515,U04676,R0057,2025-12-29T09:24:39.458903,breakfast,"[""I01108""]",54,True
O004516,U01464,R0027,2025-12-27T20:59:07.512870,dinner,"[""I00581"", ""I00556""]",408,True
O004517,U03286,R0080,2026-01-05T05:35:21.771026,late_night,"[""I01553"", ""I01551""]",53,True
O004518,U03347,R0067,2025-12-09T16:49:13.180114,late_night,"[""I01301""]",168,True
O004519,U01784,R0060,2025-12-24T13:57:42.984691,lunch,"[""I01164""]",51,True
O004520,U04910,R0045,2025-12-21T14:00:07.638695,lunch,"[""I00897"", ""I00889"", ""I00896""]",167,True
O004521,U02617,R0098,2025-12-29T19:01:41.995080,dinner,"[""I01962"", ""I01964"", ""I01963""]",245,True
O004522,U02976,R0086,2025-12-16T12:31:52.279503,lunch,"[""I01659"", ""I01663"", ""I01667""]",256,True
O004523,U00866,R0094,2025-12-11T04:35:00.360356,late_night,"[""I01865"", ""I01856""]",319,True
O004524,U02604,R0069,2025-12-14T20:02:54.733175,dinner,"[""I01321"", ""I01326"", ""I01322""]",455,True
O004525,U04388,R0069,2025-12-02T19:31:58.902228,dinner,"[""I01330"", ""I01321""]",252,True
O004526,U03213,R0048,2025-12-18T04:08:07.727513,late_night,"[""I00954"", ""I00964"", ""I00953""]",1059,True
O004527,U03310,R0064,2025-12-07T02:50:26.160816,late_night,"[""I01250"", ""I01259""]",246,True
O004528,U03801,R0053,2025-12-29T19:23:32.999536,dinner,"[""I01040"", ""I01024"", ""I01036"", ""I01054"", ""I01043"", ""I01025"", ""I01037""]",873,True
O004529,U03682,R0036,2025-12-08T19:08:19.498303,dinner,"[""I00749""]",53,True
O004530,U01456,R0045,2025-12-27T21:44:06.781412,dinner,"[""I00887""]",83,True
O004531,U02363,R0002,2026-01-01T05:11:38.666616,late_night,"[""I00023"", ""I00027""]",159,True
O004532,U04364,R0096,2025-12-03T02:14:04.547360,late_night,"[""I01921"", ""I01915"", ""I01919"", ""I01909""]",250,True
O004533,U02737,R0081,2025-12-09T05:11:41.953365,late_night,"[""I01570"", ""I01560""]",176,True
O004534,U01412,R0071,2026-01-03T08:53:28.441338,breakfast,"[""I01374"", ""I01363""]",516,True
O004535,U00806,R0063,2025-12-08T06:05:48.392628,late_night,"[""I01234"", ""I01241""]",343,False
O004536,U04753,R0084,2025-12-28T02:37:26.871928,late_night,"[""I01604"", ""I01636""]",394,True
O004537,U03426,R0044,2025-12-08T21:34:35.313791,dinner,"[""I00867""]",529,True
O004538,U03362,R0030,2025-12-24T16:06:38.696341,late_night,"[""I00647"", ""I00638"", ""I00653"", ""I00645"", ""I00642"", ""I00646"", ""I00651""]",1007,True
O004539,U00238,R0080,2025-12-11T17:36:07.782642,late_night,"[""I01553""]",20,True
O004540,U01837,R0009,2026-01-04T06:03:53.517949,late_night,"[""I00230"", ""I00214"", ""I00208"", ""I00203"", ""I00223"", ""I00218"", ""I00222""]",1075,True
O004541,U04995,R0080,2025-12-19T11:08:22.236888,lunch,"[""I01553"", ""I01544"", ""I01546""]",212,True
O004542,U04124,R0010,2025-12-19T21:41:13.041176,dinner,"[""I00240"", ""I00241"", ""I00238""]",296,True
O004543,U04912,R0074,2025-12-02T18:58:42.707712,late_night,"[""I01432"", ""I01436"", ""I01437"", ""I01426""]",195,True
O004544,U03349,R0002,2026-01-04T07:08:26.394352,breakfast,"[""I00027"", ""I00023"", ""I00025"", ""I00026"", ""I00024"", ""I00016"", ""I00028""]",438,True
O004545,U02663,R0029,2025-12-11T23:28:16.696551,late_night,"[""I00622"", ""I00634"", ""I00608"", ""I00606"", ""I00621"", ""I00625""]",1025,False
O004546,U01364,R0095,2025-12-20T06:08:48.685554,late_night,"[""I01879"", ""I01900""]",344,True
O004547,U00746,R0068,2025-12-29T23:42:40.263226,late_night,"[""I01308"", ""I01318""]",241,True
O004548,U00187,R0096,2025-12-09T15:19:05.473293,late_night,"[""I01917"", ""I01920"", ""I01918""]",149,True
O004549,U04927,R0066,2025-12-28T15:53:54.880171,late_night,"[""I01293"", ""I01288"", ""I01292""]",429,True
O004550,U04523,R0030,2025-12-14T05:31:02.652750,late_night,"[""I00635"", ""I00644""]",410,True
O004551,U01323,R0078,2025-12-26T08:46:40.908884,breakfast,"[""I01497"", ""I01514"", ""I01505""]",528,True
O004552,U03024,R0093,2025-12-13T09:49:23.090347,breakfast,"[""I01851"", ""I01844"", ""I01848""]",470,True
O004553,U01961,R0009,2025-12-16T15:47:21.112067,late_night,"[""I00210""]",268,True
O004554,U03869,R0098,2025-12-02T21:15:59.956435,dinner,"[""I01965"", ""I01959""]",155,True
O004555,U01637,R0043,2025-12-16T10:16:59.979788,breakfast,"[""I00862"", ""I00854"", ""I00858"", ""I00861""]",363,True
O004556,U01087,R0038,2025-12-30T10:28:09.924712,breakfast,"[""I00776"", ""I00780""]",322,True
O004557,U00531,R0004,2026-01-05T02:10:24.770558,late_night,"[""I00076""]",192,True
O004558,U01696,R0055,2026-01-05T09:33:31.035399,breakfast,"[""I01081"", ""I01078""]",449,True
